PUBLICATION ID;INCLUDES PVT PATTERNS; INCLUDES BRAIN PATTERNS
10098939;TRUE;TRUE
10188633;TRUE;FALSE
10320215;TRUE;FALSE
10330689;FALSE;FALSE
10426541;TRUE;TRUE
10442408;TRUE;FALSE
10450873;TRUE;TRUE
10479068;TRUE;FALSE
10517952;TRUE;TRUE
10529444;TRUE;FALSE
10609862;TRUE;TRUE
10642829;TRUE;FALSE
10784111;TRUE;FALSE
10792437;TRUE;FALSE
10801296;TRUE;FALSE
10849207;TRUE;FALSE
10867662;TRUE;TRUE
10884340;TRUE;FALSE
10886349;TRUE;FALSE
10888743;TRUE;FALSE
10942258;TRUE;FALSE
10949081;TRUE;TRUE
10960599;TRUE;FALSE
10986328;TRUE;TRUE
11074051;FALSE;TRUE
11074446;TRUE;FALSE
11134634;TRUE;TRUE
11169484;TRUE;FALSE
11170000;TRUE;FALSE
11173087;TRUE;FALSE
11207936;TRUE;FALSE
11225306;FALSE;FALSE
11241864;TRUE;FALSE
11243091;FALSE;FALSE
11247926;TRUE;FALSE
11298358;TRUE;FALSE
11328456;TRUE;TRUE
11334850;TRUE;FALSE
11370008;TRUE;TRUE
11382534;TRUE;TRUE
11457581;TRUE;FALSE
11470560;TRUE;TRUE
11596055;TRUE;FALSE
11597605;TRUE;FALSE
11704247;TRUE;FALSE
11718036;TRUE;FALSE
11745636;TRUE;FALSE
11754169;TRUE;FALSE
11756009;TRUE;TRUE
11830180;TRUE;FALSE
11882374;TRUE;FALSE
11918662;TRUE;TRUE
11923007;TRUE;TRUE
11923010;TRUE;FALSE
12000546;TRUE;FALSE
12012375;TRUE;FALSE
12103445;TRUE;TRUE
12121498;TRUE;FALSE
12127012;TRUE;TRUE
12150785;TRUE;TRUE
12191642;TRUE;FALSE
12228059;TRUE;FALSE
12270045;TRUE;FALSE
12353224;TRUE;FALSE
12379260;TRUE;FALSE
12423763;TRUE;FALSE
12472878;FALSE;FALSE
12505668;TRUE;TRUE
1255587;FALSE;FALSE
12573527;FALSE;FALSE
12623225;FALSE;TRUE
12640666;TRUE;FALSE
12663934;FALSE;TRUE
12676271;TRUE;FALSE
12691845;TRUE;TRUE
12722103;TRUE;TRUE
12774318;TRUE;TRUE
1282919;TRUE;FALSE
12855312;TRUE;TRUE
12898614;TRUE;TRUE
12914981;TRUE;TRUE
12915251;TRUE;TRUE
12917130;TRUE;FALSE
12926012;TRUE;FALSE
1327403;TRUE;FALSE
1330085;TRUE;FALSE
1334187;TRUE;TRUE
1352401;TRUE;FALSE
1373159;TRUE;FALSE
1403102;TRUE;FALSE
1407555;TRUE;FALSE
1430329;TRUE;TRUE
14401714;FALSE;FALSE
14510052;TRUE;TRUE
14523628;TRUE;FALSE
14568333;TRUE;FALSE
14574439;FALSE;FALSE
14580956;TRUE;TRUE
14592687;TRUE;FALSE
14666515;TRUE;FALSE
14694349;FALSE;FALSE
14706875;TRUE;FALSE
1486507;TRUE;TRUE
15044536;TRUE;FALSE
1504818;TRUE;TRUE
15066905;TRUE;FALSE
15073536;TRUE;TRUE
1514365;TRUE;FALSE
15188430;TRUE;FALSE
15319220;TRUE;TRUE
15381288;TRUE;FALSE
1538709;FALSE;FALSE
15528870;FALSE;FALSE
15567425;TRUE;TRUE
15652654;TRUE;FALSE
15672682;TRUE;FALSE
15677880;FALSE;FALSE
15738149;TRUE;FALSE
15740801;TRUE;TRUE
1578281;TRUE;TRUE
15836918;TRUE;FALSE
15837133;TRUE;TRUE
15862516;TRUE;FALSE
15893889;TRUE;FALSE
15925361;TRUE;FALSE
15982643;TRUE;FALSE
16023579;TRUE;FALSE
16024703;TRUE;FALSE
16095872;TRUE;FALSE
16130146;TRUE;TRUE
16141309;FALSE;FALSE
16143859;TRUE;FALSE
16144606;TRUE;FALSE
16148234;TRUE;FALSE
16168969;TRUE;TRUE
16226229;FALSE;FALSE
16255002;TRUE;FALSE
16256084;TRUE;FALSE
16324120;TRUE;FALSE
16362638;TRUE;FALSE
16448581;FALSE;FALSE
16452658;TRUE;FALSE
16472928;TRUE;FALSE
16492946;TRUE;FALSE
16529722;FALSE;FALSE
16545785;TRUE;TRUE
16562675;TRUE;FALSE
16565962;TRUE;TRUE
16624258;FALSE;FALSE
16626641;TRUE;TRUE
16705679;TRUE;TRUE
16777080;FALSE;FALSE
16809449;TRUE;FALSE
16901513;TRUE;FALSE
16965551;TRUE;FALSE
1696591;FALSE;FALSE
1699175;TRUE;FALSE
17045749;TRUE;FALSE
17048222;TRUE;TRUE
17072839;TRUE;TRUE
1707734;FALSE;FALSE
1711755;TRUE;FALSE
17119540;TRUE;FALSE
1713657;TRUE;TRUE
17159139;TRUE;TRUE
1716270;TRUE;TRUE
17183538;TRUE;FALSE
1719043;FALSE;FALSE
17214872;TRUE;FALSE
1722293;FALSE;FALSE
17226797;TRUE;FALSE
17265163;TRUE;TRUE
17296167;TRUE;FALSE
